Year,Population_end,BirthRate,DeathRate,Age_0_14,Age_15_64,AgingRatio,MalePop,FemalePop,GDP_percapita,ResidentConsumption,HealthcareCost
2024,140472.73961143268,11.672167669836977,9.821538674253325,14.683399001705622,69.91659991712037,15.400001081174002,71779.44029432624,68693.29931710644,87895.67984189652,33367.197628458496,83186.72549407091
2025,140732.70253644668,16.992234578338717,9.858482416151965,14.604841456967671,69.99515679956923,15.400001743463102,71912.27754917461,68820.42498727205,91715.00098814163,34822.101778656244,87161.06881422922
2026,141736.65475745645,22.237534171742656,9.896213604756356,14.526278313869893,70.07370873417061,15.40001295195951,72425.28191469013,69311.37284276633,95534.32213438675,36277.00592885399,91135.41213438753
2027,143485.8722499105,27.406837501179965,9.934479025844242,14.36382987504318,70.06837453895072,15.567795586006095,73319.1055359734,70166.7667139371,99353.64328063186,37731.910079051275,95109.75545454584
2028,145992.90884600717,32.499253647608995,9.973104959667657,14.1031605171256,69.96481973101707,15.932019751857329,74600.16323099143,71392.74561501574,103172.96442687698,39186.81422924902,99084.09877470322
2029,149281.56681805738,37.5142101179751,10.011938077793905,13.842488803699977,69.86126269893693,16.296248497363102,76280.61760005739,73000.94921800001,106992.28557312209,40641.71837944677,103058.44209486153
2030,153387.1490792721,42.45141725413118,10.050854627107183,13.581817153658301,69.75770609580131,16.66047675054039,78378.50789664625,75008.64118262584,110811.6067193672,42096.62252964452,107032.78541501984
2031,158356.9790091957,47.31081600790101,10.089746715432964,13.321145289484194,69.65414873558255,17.024705974933262,80918.01565030417,77438.96335889153,114630.92786561232,43551.5266798418,111007.12873517815
2032,164251.19509784286,52.092546633863826,10.128524120996792,13.060473418830519,69.55059145870307,17.388935122466417,83929.87071775012,80321.32438009273,118450.24901185744,45006.43083003955,114981.47205533646
2033,171143.83594669407,56.79691352795389,10.16710759979794,12.799800866919224,69.44703371991926,17.753165413161508,87451.9057019666,83691.93024472747,122269.57015810255,46461.3349802373,118955.81537549384
2034,179124.2398026886,61.424367321586175,10.205435446724552,12.539129448931561,69.3434768795646,18.117393671503834,91529.77109279146,87594.46870989715,126088.89130434766,47916.239130435046,122930.15869565215
2035,188298.7920382789,65.97547453818652,10.243454173988125,12.27845764686087,69.23991964060114,18.481622712538,96217.82820280344,92080.96383547546,129908.21245059278,49371.14328063233,126904.50201581046
2036,198793.0641507102,70.45090111072457,10.28112007958037,12.017783563871317,69.13636187725456,18.84585455887412,101580.2421634803,97212.82198722991,133727.5335968379,50826.047430830076,130878.84533596877
2037,210754.39929116864,74.85138867131265,10.318391034589261,11.757113668784555,69.03280485876795,19.2100814724475,107692.3030914213,103062.09619974732,137546.854743083,52280.951581027824,134853.18865612615
2038,224355.01244255467,79.17775578822754,10.355241015709828,11.496441469356832,68.92924737707503,19.574311153568143,114642.01023218395,109713.0022103707,141366.17588932812,53735.85573122557,138827.53197628446
2039,239795.68860067078,83.43086988351833,10.391643423113363,11.235769513938093,68.82569002948827,19.938540456573637,122531.96167481449,117263.72692585627,145185.49703557324,55190.759881422855,142801.87529644277
2040,257310.1802046039,87.61164520557465,10.427578822438354,10.9750975858764,68.72213230767534,20.30277010644827,131481.60137208822,125828.57883251569,149004.81818181742,56645.6640316206,146776.21861660108
2041,277170.42623457283,91.721031341552,10.463031821427043,10.714425661676762,68.61857529993397,20.666999038389264,141629.88602041698,135540.5402141559,152824.13932806253,58100.56818181835,150750.5619367594
2042,299692.74059653457,95.76000679588886,10.497991804864505,10.453753662183768,68.51501787375699,21.031228464059232,153138.4472305726,146554.293365962,156643.46047430765,59555.4723320161,154724.90525691677
2043,325245.1475379775,99.72956660575852,10.53244666215208,10.19308165593779,68.41146056887067,21.395457775191545,166195.33981392594,159049.80772405156,160462.78162055276,61010.37648221338,158699.24857707508
2044,354256.07797399844,103.63072523970044,10.566390907373641,9.93240712997594,68.30790321583966,21.759689654184402,181019.48547325976,173236.59250073868,164282.10276679788,62465.28063241113,162673.5918972334
2045,387224.68405382946,107.46450991553313,10.599823443896229,9.671735056304115,68.20434590152507,22.123919042170808,197865.94338989697,189358.74066393246,168101.423913043,63920.18478260888,166647.9352173917
2046,424733.08166878234,111.23194660742966,10.632737356529349,9.411065695046688,68.1007885129266,22.488145792026724,217032.16595966805,207700.91570911428,171920.7450592881,65375.088932806626,170622.27853754908
2047,467460.89382735995,114.93407218389557,10.6651352644033,9.150393667264705,67.99723117061119,22.8523751621241,238865.43023712115,228595.46359023883,175740.06620553322,66829.99308300391,174596.6218577074
2048,516202.5442781744,118.57191809557807,10.697015732116183,8.889721755941649,67.89367377483944,23.216604469218908,263771.6747146804,252430.86956349402,179559.38735177834,68284.89723320166,178570.9651778657
2049,571887.8433419531,122.14651646492948,10.728385221409368,8.629049745351416,67.79011638699315,23.580833867655436,292226.01837067504,279661.82497127814,183378.70849802345,69739.8013833994,182545.308498024
2050,635606.5181280005,123.91813386687605,12.499999903560074,8.368377725084846,67.68655903627666,23.945063238638483,324785.295260527,310821.2228674736,187198.02964426856,71194.70553359669,186519.65181818232
